TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
5976,0.22,Yellow,0.1283,Gold Stud,0.0439,Black,0.1229,Zombie,0.0308,Grin,0.0713,Sailor Shirt,0.0284,Vietnam Era Helmet,0.0223,Ether,1.0,2021-05-01 08:59:24.167862,905.6608,6.808664843004464,1
2908,0.255,Purple,0.1291,,,Black,0.1229,Crazy,0.0407,Jovial,0.0296,Navy Striped Tee,0.0334,,,Ether,1.0,2021-05-01 08:59:47.032583,1044.21225,6.951018052376706,1
484,0.13,Purple,0.1291,,,Dark Brown,0.1352,Bored,0.1714,Jovial,0.0296,Cowboy Shirt,0.0119,S&m Hat,0.0235,Ether,1.0,2021-05-01 09:03:27.752484,525.668,6.264669834753348,1
6873,0.25,Gray,0.117,,,Cheetah,0.0406,Wide Eyed,0.0549,Phoneme Vuh,0.0333,,,,,Ether,1.0,2021-05-01 09:03:45.938563,1029.16,6.936498214514349,1
1059,0.14,Army Green,0.1243,Silver Stud,0.0823,Brown,0.137,3d,0.0487,Bored Unshaven,0.1551,Cowboy Shirt,0.0119,,,Ether,1.0,2021-05-01 09:05:54.238751,573.293,6.351396929827584,1
7076,1.0,Purple,0.1291,Silver Hoop,0.0882,Cheetah,0.0406,Blue Beams,0.0049,Bored,0.2272,Blue Dress,0.0095,,,Ether,1.0,2021-05-01 09:06:14.024867,4116.64,8.322792575634239,-1
7868,0.25,New Punk Blue,0.1232,,,Tan,0.0626,Angry,0.0432,Bored,0.2272,,,Spinner Hat,0.0181,Ether,1.0,2021-05-01 09:06:14.219584,1029.16,6.936498214514349,1
4787,0.145,New Punk Blue,0.1232,,,Tan,0.0626,Angry,0.0432,Bored,0.2272,Tie Dye,0.0144,Beanie,0.0578,Ether,1.0,2021-05-01 09:07:41.487398,596.9128000000001,6.391771039072677,1
7436,0.12,Yellow,0.1283,,,Dark Brown,0.1352,Bored,0.1714,Bored Unshaven,0.1551,Puffy Vest,0.0227,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 09:08:31.632834,493.9968,6.202529039434149,1
5491,5.0,Army Green,0.1243,Silver Stud,0.0823,Black,0.1229,Bloodshot,0.0846,Bored Unshaven Pizza,0.0026,Leather Jacket,0.0206,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 09:10:05.003699,20583.2,9.93223048806834,-1
3019,0.13,Purple,0.1291,Gold Hoop,0.0462,Golden Brown,0.0778,Heart,0.0394,Bored,0.2272,Sleeveless T,0.0252,,,Ether,1.0,2021-05-01 09:10:51.607539,532.3435,6.277288957673862,1
8260,0.35,New Punk Blue,0.1232,Silver Stud,0.0823,Dmt,0.0215,3d,0.0487,Phoneme  ooo,0.0255,Blue Dress,0.0095,Cowboy Hat,0.0354,Ether,1.0,2021-05-01 09:16:14.106429,1440.824,7.272970451135562,1
8359,0.16,Blue,0.1242,,,Cheetah,0.0406,Sleepy,0.0751,Bored,0.2272,,,Fez,0.0377,Ether,1.0,2021-05-01 09:16:45.202561,658.6624,6.490211111885929,1
1025,0.1499,New Punk Blue,0.1232,Gold Stud,0.0439,Brown,0.137,Bloodshot,0.0846,Grin,0.0713,,,,,Ether,1.0,2021-05-01 09:17:22.177735,613.833005,6.419722912326832,1
8350,0.99,Blue,0.1242,,,Brown,0.137,Robot,0.035,Bored Cigar,0.0121,Kings Robe,0.0068,Halo,0.0324,Ether,1.0,2021-05-01 09:17:57.379578,4075.4736,8.312742239780738,1
